key,proposer,phase,trajectory_id,source,state_sha256,snapshot_context_sha256,root_cell,witnessed,frontwheel_tangent_mps,hip_deg,hip_rate_degps,knee_deg,knee_rate_degps,pitch_deg,rearwheel_tangent_mps,roll_deg,root_vx_mps,root_vy_mps,root_vz_mps,root_wx_degps,root_wy_degps,root_wz_degps,root_x_m,root_y_m,root_z_m,steering_deg,steering_rate_degps,yaw_deg,evaluator_pi_0,evaluator_pi_1,evaluator_pi_2,evaluator_pi_3,evaluator_pi_4
79ad414bf537fad9457d8d09e572534f85c9624b5353cfff3ff00b0e0265d9a4,pi_2,upstream,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.85_family0/variant_0,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2,fa337be2e7d2566c85e3d08f3857dd6190733079a6de17f25246a2ee765dff6d,eac5a0131f30ceabea6fc3617bc52854304f4acc7d32bf54a00cbfcb707c1d86,ec5b1dff04b1b0368f64e3784466ac9137d029c6a7d1b2dea30a269d9e7eddde,True,1.8349502754211429,-71.90483014768758,-30.200449811493005,143.1918970057042,-100.1629688196203,0.08515623816242271,-0.20078952550888063,-0.7148158991995338,1.8498318195343018,0.06334689259529114,0.05704953521490097,11.230121901254096,12.575997016826767,6.65871855156005,2.7393455505371094,-0.002801976166665554,0.11871135234832764,6.706944809742218,36.10941038701112,-1.3824154660950878,1,1,1,1,
1ca840de8fd0ba6fb1b40550b974e29ade49cedc84e9a54a67aa696b9432f007,pi_2,upstream,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.85_family0/variant_0,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2,7fe22f9ea5f1ad7560f8227a93f5ec37eb0b7d6a721b04847d1dadb5c5ada1c2,f48cd284b3efdf23b7ebfe35c36c3a514a5a0de48fe8f4a144fce8341f305ff6,c550469332ff0a895c80193210e3196d01feb4355faf0bbe5472614b1198a1c5,True,2.005397701263428,-71.41836358443176,62.894909047470314,139.52702240275045,-265.18428018627947,0.023825746228098528,-0.329502534866333,-0.5671979366177177,1.9547710418701172,0.04607032239437103,-0.05752326548099518,6.324771393131086,-21.31974393754134,36.62189997100468,2.7770447731018066,-0.0018486676272004843,0.11873676627874374,5.334367923383026,38.03199935534298,-0.7834039513485229,1,1,1,1,
9a6a6be151551ee7f4c0cac9edcaca0a711f68b44bff372ea483e65240c19115,pi_2,upstream,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.85_family0/variant_0,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2,8d76008c024bd3272083d947fd983fa5a1efef023041a0d29db44f317f654c48,1daa058311f1c33c8ccd85860e4991a3686d11a09c7e2ef99304aa8ca691b223,7f865760a674643ecf4f3f66319990a99fb87507849d2faa3d8b76970b07fc2a,True,1.2091390228271486,-62.61142887615811,463.9511451851946,121.98458310454313,-644.9650917764393,0.0677976236422383,-0.3479233503341675,-0.366968411705633,1.1941101551055908,0.024226246401667595,0.016654672101140022,-0.22910076646150646,-4.624329204912004,5.35872138975553,2.844280242919922,0.00018026484758593142,0.11885768920183182,-0.8289549266027361,104.55040230468052,0.5371927356050388,1,1,1,1,
cad8447a43fd37fdb7c7e98931869d2a27402f49e983b8704024915b78810a2d,pi_2,upstream,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.85_family0/variant_0,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2,9dc9ac5e86dee2042291cb2d3b23f455fc1fa6420c8db82aea97863b3d3fbfb5,375d86b5e71ad85fcd6a26637cfd1221269f33cf8708bb002a3b17c1b29cdc78,4e4810b095b4d79b5fad0a9770248902a397593ac484cbfba45393ec39a0e6e1,True,0.7403132057189942,-37.45509767238161,656.9168299936945,83.01043087018317,-1324.5992402326228,0.34621252242714184,-0.3250181865692139,-0.5712974896027473,0.8324911594390869,-0.041983384639024734,0.17229898273944855,-10.979581170987919,55.86775771236191,-33.231264293416125,2.878446102142334,-0.00015923184400890023,0.11942632496356964,-14.819393140284966,86.63254165874346,0.08892846215121661,1,1,1,1,
252abd22d2e190d06e28bd7418e32a9919f906c2c236ccfcd72fbf711f6152ca,pi_2,upstream,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.85_family0/variant_0,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2,1daa5e8d7fb3802a2f5f2792ea64917fbf29648ba14a03b5716637a6525f933a,6eea19a4410acfbc99ff736dd3b8ce7b3ce6c758847df1954b677f11f575028c,da3a3c1a3044c2a79fb89544b9ca9432f119f825e2eef998adcbb8ec4495e9d2,True,0.027473607361316682,-48.00162692074415,-537.0780464395592,22.348469464288225,371.44407393453906,33.18111962374034,-0.5888709545135499,-0.8268211180035775,1.9029163122177124,0.066115602850914,3.170234203338623,3.2311117003244463,271.85704715630175,-7.164638774232534,2.9493491649627686,0.0019736080430448055,0.24979832768440247,-9.522408976663534,11.861843536267635,-0.4794451152366326,1,1,1,1,
3009599e955a166cf143532c1da5f0d5ef58271b7a4b6cc3a39bba9c9b0917cb,pi_2,upstream,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.85_family0/variant_0,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2,4ba5913488c4567e9ed5c8742f53ecce48049dd9bab93d1f296b906a377ade5e,ba725acee7f256a522a64225d64784299672014669589b3ffdaf70825ec0776e,1203b278622a51bcd1d05f276cdceca642eaa699db9d5bb5a504f62438653415,True,0.7636189460754396,-56.39920448639685,-250.50609437689533,41.93793523976857,1213.5032080991307,31.39700569835261,0.15020589113235475,-0.8724377883699156,2.2397587299346924,0.0646933987736702,3.0327513217926025,9.169446998472077,-333.12113925640483,-20.705484534914582,2.9921491146087646,0.0033467134926468134,0.31100785732269287,9.586369429372473,208.96415984482576,-0.9179063172731718,1,1,1,0,
975f576cbd2d369e17d4b1f689a78ce936dace823aabc28a06b398a5cfb9382c,pi_2,upstream,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.85_family0/variant_0,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2,413ed75483e38067763d910dd7568f773678dd06182195ff03781ca737d3628a,274c8437d0b653dc51256ec36e06a0665732ba64a799fb98b58062dd6cd29ff6,ad41c19f2db73de2fb94cfd14849c2c0954670046441aa31ae6023d57d083416,True,0.853329610824585,-60.18180081479034,-113.03431004634758,67.89598038794283,1180.8527182059354,22.98607294454972,0.27133356332778935,-0.8856622099892385,2.2821743488311768,0.059594616293907166,3.349546432495117,5.076708428454404,-432.27783679617465,-20.49161765162314,3.0380783081054688,0.004617724567651749,0.376363605260849,28.08277527253994,227.439930832737,-1.33648955515066,1,1,1,1,
d1853238dfd0923f99dbdd01f074d35b5bdedc90c5ee3d35bcb20a714a4c9b68,pi_2,upstream,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.85_family0/variant_0,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2,eea0e2a85130e06110f08ac8414b15004a0d381fa655f4364d0ba91374155911,8a3114003e5c355e3bf1296f745fb3ee8c1bae171905a25ac5407f8de4948d85,c172b027292feb1d171bcac107c7072abf8770fea2735208de3051631bbb709c,True,0.44585282802581794,-62.47388252665239,-138.6874009084591,82.35869421958056,329.850134342129,18.23394283929494,-0.9226079654693604,-0.9134694034087898,1.9135711193084717,0.05697530880570412,2.4928879737854004,1.3364140229117356,-53.96516412282525,-9.381589258998089,3.07987904548645,0.005775115918368101,0.4352172613143921,35.9914291143829,-88.74509184827173,-1.5954071725155876,1,1,1,1,
e05729b085a4b6d8bf17b53eaacc9e7e0c7ab2170280cbd1b083ab91e8a06557,pi_2,upstream,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.85_family0/variant_0,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2,65d8ac5a7f5c09ef0c49b6da45d704a89031ce69336dcd1696f9a558ed804286,b93d259351c9ad16de4dd888dc63139844cd5c7c47e5e5b63a75af61fd089f2d,cbacaf7bc65b8cee8dcd8ef1fb1e62d162d9b33c56667b85dc4045f9424b13f9,True,0.22778542041778566,-65.55834131431679,-69.3891758537235,80.15071262696887,-320.412725362139,20.572868616315038,-1.1925474548339845,-0.9661114596746757,1.658956527709961,0.05440383404493332,1.2612966299057007,1.3212721338520519,166.98044867723976,-4.606482774384407,3.1505794525146484,0.007953592576086521,0.5058557391166687,32.901075873464784,-11.745993282660464,-1.9119218411333416,1,1,1,1,
351491ee43e8e23df06332d529ad5d32b9d8c1615e3f1df795ce0ff77cc75aff,pi_2,upstream,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2/tasks/acquire/attempt_0000/result/catalog.json::dense_v1_train_x2.85_family0/variant_0,/home/qy/DVGC/JIT/runs/discovery/lower_boundary_v1/pi_2,5458ccf4c5604407f1776d57ff619a6c2dc21e87d6f0664d4a9c0d750330f1b1,3268a4c9ce8d25893b4113566f9a1c20e242676755b0b71dc02c4b4925c4bac9,8372ec996b3a9eeba1f41bb14188674e7682dde59597661a4f254a25c3a5e74c,True,0.6132213783264161,-59.79429686241884,328.20419535593936,74.48840384275826,-220.0487509054344,17.97053994292917,-0.7594218540191651,-0.9651516855015508,1.7814768552780151,0.045412298291921616,0.7800355553627014,2.7051006896517813,-187.55997257102825,-11.025143655393782,3.1855733394622803,0.008872641250491142,0.5224621891975403,28.077148904211143,79.66294832777075,-2.0437806624538872,1,1,1,1,
